cnpj;sufixo;classe_avere;chave_original
01823373000125;;Multimercado;01.823.373/0001-25
03069104000140;;Caixa;03.069.104/0001-40
04128557000163;;Multimercado;04.128.557/0001-63
04222716000194;;Renda Variável;04.222.716/0001-94
04312909000136;;Renda Variável;04.312.909/0001-36
05448587000110;;Multimercado;05.448.587/0001-10
05523348000187;;Multimercado;05.523.348/0001-87
05764785000192;;Renda Variável;05.764.785/0001-92
07488106000125;;Renda Variável;07.488.106/0001-25
07900255000150;;Caixa;07.900.255/0001-50
08279304000141;;Renda Variável;08.279.304/0001-41
08912591000185;;Multimercado;08.912.591/0001-85
09601190000177;;Alternativos;09.601.190/0001-77
09625909000100;;Multimercado;09.625.909/0001-00
10525583000128;;Multimercado;10.525.583/0001-28
10783480000168;;Caixa;10.783.480/0001-68
10843445000197;;Caixa;10.843.445/0001-97
12004203000135;;Renda Variável;12.004.203/0001-35
12082452000149;;Renda Variável;12.082.452/0001-49
12086151000193;;Renda Variável;12.086.151/0001-93
12154412000165;;Multimercado;12.154.412/0001-65
12430199000177;;Multimercado;12.430.199/0001-77
12987743000186;;Renda Variável;12.987.743/0001-86
14099149000184;;Multimercado;14.099.149/0001-84
14113340000133;;Renda Variável;14.113.340/0001-33
14196832000130;;Multimercado;14.196.832/0001-30
14196834000129;;Multimercado;14.196.834/0001-29
14213331000114;;Renda Variável;14.213.331/0001-14
15494363000106;;Multimercado;15.494.363/0001-06
15862867000123;;Multimercado;15.862.867/0001-23
17249227000178;;Renda Variável;17.249.227/0001-78
17400251000166;;Renda Variável;17.400.251/0001-66
17453850000148;;Internacional - Renda Variável;17.453.850/0001-48
17503172000180;;Internacional - Renda Variável;17.503.172/0001-80
17797493000135;;Multimercado;17.797.493/0001-35
18041877000196;;Multimercado;18.041.877/0001-96
18085924000101;;Internacional - Renda Variável;18.085.924/0001-01
18772290000157;;Multimercado;18.772.290/0001-57
18860059000115;;Multimercado;18.860.059/0001-15
18927174000160;;Multimercado;18.927.174/0001-60
18993924000100;;Multimercado;18.993.924/0001-00
19689941000102;;Renda Variável;19.689.941/0001-02
19831126000136;;Internacional - Renda Variável;19.831.126/0001-36
20458815000126;;Multimercado;20.458.815/0001-26
21407385000186;;Multimercado;21.407.385/0001-86
21407758000119;;Renda Variável;21.407.758/0001-19
21470989000177;;Multimercado;21.470.989/0001-77
21523833000107;classeA;Alternativos;21.523.833/0001-07_classeA
21624757000126;;Multimercado;21.624.757/0001-26
22759978000174;;Multimercado;22.759.978/0001-74
22918359000185;;Multimercado;22.918.359/0001-85
22963439000152;;Multimercado;22.963.439/0001-52
23339936000147;;Multimercado;23.339.936/0001-47
23729512000199;;Internacional - Multimercado;23.729.512/0001-99
23922063000109;;Multimercado;23.922.063/0001-09
24029438000160;;Multimercado;24.029.438/0001-60
24215286000190;;Renda Variável;24.215.286/0001-90
24405282000175;;Multimercado;24.405.282/0001-75
24571992000175;;Renda Variável;24.571.992/0001-75
24582422000180;;Multimercado;24.582.422/0001-80
25079578000106;;Multimercado;25.079.578/0001-06
25307278000137;;Multimercado;25.307.278/0001-37
25682163000122;;Multimercado;25.682.163/0001-22
26199519000134;;Caixa;26.199.519/0001-34
26324209000102;;Multimercado;26.324.209/0001-02
26419969000195;;Multimercado;26.419.969/0001-95
26516247000159;;Multimercado;26.516.247/0001-59
26525548000149;;Multimercado;26.525.548/0001-49
26549933000126;;Multimercado;26.549.933/0001-26
26559284000144;;Caixa;26.559.284/0001-44
26673556000132;;Renda Variável;26.673.556/0001-32
26841302000186;;Multimercado;26.841.302/0001-86
26978199000110;;Multimercado;26.978.199/0001-10
27793095000102;;Renda Variável;27.793.095/0001-02
28122142000140;;Renda Variável;28.122.142/0001-40
28408121000196;;Renda Variável;28.408.121/0001-96
28578936000113;;Renda Variável;28.578.936/0001-13
28581109000189;;Multimercado;28.581.109/0001-89
28692448000132;;Multimercado;28.692.448/0001-32
28747733000103;;Multimercado;28.747.733/0001-03
28911614000144;;Multimercado;28.911.614/0001-44
28947266000165;;Multimercado;28.947.266/0001-65
29291519000158;;Multimercado;29.291.519/0001-58
29363886000110;;Internacional - Multimercado;29.363.886/0001-10
29562673000117;;Caixa;29.562.673/0001-17
29626006000150;;Multimercado;29.626.006/0001-50
29813769000100;;Multimercado;29.813.769/0001-00
29853005000149;;Internacional - Multimercado;29.853.005/0001-49
29941942000156;;Multimercado;29.941.942/0001-56
30057258000195;;Multimercado;30.057.258/0001-95
30068713000158;;Multimercado;30.068.713/0001-58
30493349000173;;Multimercado;30.493.349/0001-73
30506330000114;;Multimercado;30.506.330/0001-14
30518346000147;;Multimercado;30.518.346/0001-47
30556738000109;;Multimercado;30.556.738/0001-09
30773649000106;;Multimercado;30.773.649/0001-06
30830162000118;;Renda Variável;30.830.162/0001-18
30830240000184;;Renda Variável;30.830.240/0001-84
30898110000183;;Multimercado;30.898.110/0001-83
30994931000113;;Multimercado;30.994.931/0001-13
31132386000119;;Internacional - Renda Variável;31.132.386/0001-19
31145826000172;;Internacional - Renda Variável;31.145.826/0001-72
31248460000167;;Multimercado;31.248.460/0001-67
31392355000105;classeD;Alternativos;31.392.355/0001-05_classeD
31403590000127;;Multimercado;31.403.590/0001-27
31569954000143;;Multimercado;31.569.954/0001-43
31846723000130;;Multimercado;31.846.723/0001-30
31874833000105;;Internacional - Renda Variável;31.874.833/0001-05
31964074000171;;Internacional - Multimercado;31.964.074/0001-71
32265543000127;;Multimercado;32.265.543/0001-27
32319351000156;;Internacional - Renda Variável;32.319.351/0001-56
32755077000168;;Multimercado;32.755.077/0001-68
32811422000133;;Internacional - Renda Variável;32.811.422/0001-33
32847791000186;;Multimercado;32.847.791/0001-86
32893503000120;;Caixa;32.893.503/0001-20
33144687000198;;Internacional - Renda Variável;33.144.687/0001-98
33520968000106;;Multimercado;33.520.968/0001-06
33736767000132;;Alternativos;33.736.767/0001-32
33736845000107;;Alternativos;33.736.845/0001-07
33736845000107;subclasseA;Alternativos;33.736.845/0001-07_subclasseA
33736873000116;;Alternativos;33.736.873/0001-16
33824468000150;;Multimercado;33.824.468/0001-50
33824527000190;;Multimercado;33.824.527/0001-90
33843037000130;;Multimercado;33.843.037/0001-30
34081651000175;;Multimercado;34.081.651/0001-75
34172497000147;;Multimercado;34.172.497/0001-47
34186116000189;;Multimercado;34.186.116/0001-89
34218740000110;;Alternativos;34.218.740/0001-10
34258351000119;;Internacional - Renda Variável;34.258.351/0001-19
34287126000100;;Multimercado;34.287.126/0001-00
34309549000184;;Multimercado;34.309.549/0001-84
34309551000153;;Renda Variável;34.309.551/0001-53
34431065000103;;Renda Variável;34.431.065/0001-03
34431415000131;;Multimercado;34.431.415/0001-31
34461768000184;;Internacional - Multimercado;34.461.768/0001-84
34462109000162;;Renda Variável;34.462.109/0001-62
34475592000110;;Multimercado;34.475.592/0001-10
34502777000176;;Multimercado;34.502.777/0001-76
34781162000126;;Multimercado;34.781.162/0001-26
35088108000162;;Alternativos;35.088.108/0001-62
35354967000156;;Renda Variável;35.354.967/0001-56
35363972000125;;Multimercado;35.363.972/0001-25
35364038000128;;Renda Variável;35.364.038/0001-28
35420569000190;;Multimercado;35.420.569/0001-90
35471498000155;;Renda Variável;35.471.498/0001-55
35495418000100;;Renda Variável;35.495.418/0001-00
35551330000150;;Alternativos;35.551.330/0001-50
35556444000192;;Renda Variável;35.556.444/0001-92
35578709000153;;Internacional - Renda Variável;35.578.709/0001-53
35609786000123;;Alternativos;35.609.786/0001-23
35625840000124;;Renda Variável;35.625.840/0001-24
35704438000135;;Renda Variável;35.704.438/0001-35
35717740000128;;Internacional - Renda Variável;35.717.740/0001-28
35789402000100;;Alternativos;35.789.402/0001-00
35939801000100;;Internacional - Multimercado;35.939.801/0001-00
35939847000110;;Internacional - Renda Variável;35.939.847/0001-10
35940266000107;;Multimercado;35.940.266/0001-07
35956009000155;;Multimercado;35.956.009/0001-55
35956641000107;;Multimercado;35.956.641/0001-07
36017731000197;;Multimercado;36.017.731/0001-97
36017941000185;;Multimercado;36.017.941/0001-85
36233867000134;;Renda Variável;36.233.867/0001-34
36249379000115;;Internacional - Renda Variável;36.249.379/0001-15
36318430000101;;Renda Variável;36.318.430/0001-01
36347890000150;;Multimercado;36.347.890/0001-50
36642497000199;classeA;Alternativos;36.642.497/0001-99_classeA
36642497000199;classeB;Multimercado;36.642.497/0001-99_classeB
36727910000118;;Alternativos;36.727.910/0001-18
36986672000165;;Alternativos;36.986.672/0001-65
37110110000116;;Multimercado;37.110.110/0001-16
37243191000122;;Multimercado;37.243.191/0001-22
37348037000115;;Multimercado;37.348.037/0001-15
37487500000100;;Multimercado;37.487.500/0001-00
37487547000173;;Renda Variável;37.487.547/0001-73
37553464000135;;Internacional - Renda Variável;37.553.464/0001-35
37555170000142;;Multimercado;37.555.170/0001-42
37626598000139;;Multimercado;37.626.598/0001-39
37645515000159;;Multimercado;37.645.515/0001-59
37900216000113;;Multimercado;37.900.216/0001-13
37910132000160;;Caixa;37.910.132/0001-60
37927641000104;;Multimercado;37.927.641/0001-04
38012975000102;;Internacional - Multimercado;38.012.975/0001-02
38057650000146;;Alternativos;38.057.650/0001-46
38057650000146;unica;Alternativos;38.057.650/0001-46_unica
38236242000151;;Internacional - Renda Variável;38.236.242/0001-51
38252499000105;;Multimercado;38.252.499/0001-05
38267707000131;;Multimercado;38.267.707/0001-31
38377290000160;;Alternativos;38.377.290/0001-60
38597349000125;;Alternativos;38.597.349/0001-25
39317006000122;;Multimercado;39.317.006/0001-22
39413178000108;;Internacional - Renda Variável;39.413.178/0001-08
39669815000101;classeA;Alternativos;39.669.815/0001-01_classeA
39851719000171;;Multimercado;39.851.719/0001-71
39970216000115;;Multimercado;39.970.216/0001-15
40021710000112;;Multimercado;40.021.710/0001-12
40209339000117;;Multimercado;40.209.339/0001-17
40212817000148;;Renda Variável;40.212.817/0001-48
40226010000164;;Renda Variável;40.226.010/0001-64
40265671000107;;FII-FIAgro;40.265.671/0001-07
40634839000104;;Alternativos;40.634.839/0001-04
40650535000122;;Multimercado;40.650.535/0001-22
40671799000162;;Multimercado;40.671.799/0001-62
40755318000105;;Internacional - Renda Variável;40.755.318/0001-05
40882496000199;;Multimercado;40.882.496/0001-99
41075713000100;;Multimercado;41.075.713/0001-00
41287704000174;;Multimercado;41.287.704/0001-74
41326095000115;;Multimercado;41.326.095/0001-15
41360164000107;;Multimercado;41.360.164/0001-07
41409831000107;;Multimercado;41.409.831/0001-07
41593656000142;classe2;Alternativos;41.593.656/0001-42_classe2
41594835000102;;Multimercado;41.594.835/0001-02
41721399000187;;Internacional - Renda Variável;41.721.399/0001-87
41802178000133;;Renda Variável;41.802.178/0001-33
41866111000162;;Renda Variável;41.866.111/0001-62
41969370000119;;Multimercado;41.969.370/0001-19
42084992000122;;Internacional - Pós-fixado;42.084.992/0001-22
42287819000121;;Multimercado;42.287.819/0001-21
42520416000180;;Renda Variável;42.520.416/0001-80
42620691000176;;Multimercado;42.620.691/0001-76
42700507000106;subordinada1;Alternativos;42.700.507/0001-06_subordinada1
42718410000112;;Multimercado;42.718.410/0001-12
42777350000109;;Multimercado;42.777.350/0001-09
42831345000137;;Renda Variável;42.831.345/0001-37
42922205000174;;Renda Variável;42.922.205/0001-74
43105341000134;;Alternativos;43.105.341/0001-34
43120744000152;unica;Alternativos;43.120.744/0001-52_unica
43120902000174;;Alternativos;43.120.902/0001-74
43120902000174;classeA;Alternativos;43.120.902/0001-74_classeA
43120902000174;classeB;Alternativos;43.120.902/0001-74_classeB
43121014000176;;Multimercado;43.121.014/0001-76
43423186000102;;Multimercado;43.423.186/0001-02
43597630000106;;Multimercado;43.597.630/0001-06
