chave_original;classe_avere
ABCB4;Renda Variável
Acs Absolute Atenas Prev FI RF Créd Priv;RF - Pós-fixado
Adam Icatu Prev FICFI MM;Multimercado
AEGP19;RF - Pós-fixado
AFHI11;FII-FIAgro
AMBP3;Renda Variável
AMER3;Renda Variável
ARZZ3;Renda Variável
ASAI3;Renda Variável
AURE3;Renda Variável
AZUL4;Renda Variável
B3SA3;Renda Variável
B3SAP481;Renda Variável
B80118K2SFE;COE
B80118L2T0E;COE
B80118L2T0G;COE
B80119A2TJX;COE
B80120B32Q1_;COE
B80120G34N7;COE
B80120H351X;COE
B80120H365L;COE
B80120J37L0;COE
B80121F3MBO;COE
BARI11;FII-FIAgro
BBAS3;Renda Variável
BBDC4;Renda Variável
BBGO11;FII-FIAgro
BBSE3;Renda Variável
BCRI11;FII-FIAgro
BEEF3;Renda Variável
BHIA3;Renda Variável
BKBR3;Renda Variável
BKBR3F;Renda Variável
BNP Índice Fundos Internacionais Morningstar - Entrada Otimizada 5y - 14.07.2020;COE
BNP Índice Fundos Internacionais Morningstar - Entrada Otimizada 5y - 17.03.2020;COE
BOVA11;Renda Variável
BOVAV830;Renda Variável
BRDT3;Renda Variável
BRDT3F;Renda Variável
BRKMB19;Internacional - Renda Variável
BRKMB24;Internacional - Renda Variável
BRKMN33;Internacional - Renda Variável
BRKMN43;Internacional - Renda Variável
BRML3;Renda Variável
BTAL11;FII-FIAgro
CACR11;FII-FIAgro
CAIXA;Caixa
CAML3;Renda Variável
CAML3F;Renda Variável
Capitânia Agro Crédito - CPAC11;FII-FIAgro
CBAV3;Renda Variável
CCRO3;Renda Variável
CDB AGIBANK - MAI/2026;RF - Prefixado
CDB AGIBANK 15,00% - MAI/2026;RF - Prefixado
CDB AL5 BANK - 114,00% do CDI - ago/24;RF - Pós-fixado
CDB BANCO AGIBANK S.A - 10,28% - jul/24;RF - Prefixado
CDB BANCO AGIBANK S.A - 104,00% do CDI - abr/24;RF - Pós-fixado
CDB BANCO AGIBANK S.A - 114,00% do CDI - nov/24;RF - Pós-fixado
CDB BANCO AGIBANK S.A - 115,75% do CDI - jun/26;RF - Pós-fixado
CDB BANCO AGIBANK S.A - 12,10% - ago/25;RF - Prefixado
CDB BANCO AGIBANK S.A - 12,25% - ago/26;RF - Prefixado
CDB BANCO AGIBANK S.A - 12,35% - ago/27;RF - Prefixado
CDB BANCO AGIBANK S.A - 15,25% - mai/26;RF - Prefixado
CDB BANCO AGIBANK S.A - 8,35% - jan/25;RF - Prefixado
CDB BANCO AGIBANK S.A - 9,73% - jun/24;RF - Prefixado
CDB BANCO AGIBANK S.A - IPCA + 5,05% - jul/24;RF - Inflação
CDB BANCO AGIBANK S.A - IPCA + 5,30% - jul/25;RF - Inflação
CDB BANCO AGIBANK S.A - IPCA + 5,40% - jul/25;RF - Inflação
