cnpj;sufixo;classe_avere;chave_original
00840011000180;;RF - Pós-fixado;00.840.011/0001-80
02536364000116;;RF - Pós-fixado;02.536.364/0001-16
02603461000184;;RF - Pós-fixado;02.603.461/0001-84
04228716000100;;RF - Pós-fixado;04.228.716/0001-00
04331424000190;;RF - Pós-fixado;04.331.424/0001-90
04621721000170;;RF - Pós-fixado;04.621.721/0001-70
04831907000153;;RF - Pós-fixado;04.831.907/0001-53
04839017000198;;RF - Pós-fixado;04.839.017/0001-98
04899128000190;;RF - Pós-fixado;04.899.128/0001-90
06175696000173;;RF - Pós-fixado;06.175.696/0001-73
07287126000138;;RF - Pós-fixado;07.287.126/0001-38
08915927000163;;RF - Pós-fixado;08.915.927/0001-63
09300207000156;;RF - Pós-fixado;09.300.207/0001-56
09636393000107;;RF - Pós-fixado;09.636.393/0001-07
09636619000161;;RF - Pós-fixado;09.636.619/0001-61
10320188000109;;RF - Pós-fixado;10.320.188/0001-09
10322633000170;;RF - Pós-fixado;10.322.633/0001-70
10326625000100;;RF - Pós-fixado;10.326.625/0001-00
10347493000194;;RF - Pós-fixado;10.347.493/0001-94
10646888000198;;RF - Pós-fixado;10.646.888/0001-98
10756541000106;;RF - Inflação;10.756.541/0001-06
10756556000166;;RF - Inflação;10.756.556/0001-66
10922432000103;;RF - Inflação;10.922.432/0001-03
11046179000134;;RF - Pós-fixado;11.046.179/0001-34
11701985000107;unica;RF - Pós-fixado;11.701.985/0001-07_unica
11952873000110;;RF - Pós-fixado;11.952.873/0001-10
12796193000118;;RF - Pós-fixado;12.796.193/0001-18
12796232000187;;RF - Pós-fixado;12.796.232/0001-87
12823627000121;;RF - Pós-fixado;12.823.627/0001-21
12923387000137;;RF - Pós-fixado;12.923.387/0001-37
13615411000133;;RF - Pós-fixado;13.615.411/0001-33
13823084000105;;RF - Pós-fixado;13.823.084/0001-05
14115118000170;;RF - Inflação;14.115.118/0001-70
14171578000115;unica;RF - Pós-fixado;14.171.578/0001-15_unica
14188162000100;;RF - Pós-fixado;14.188.162/0001-00
14504578000190;;RF - Inflação;14.504.578/0001-90
15714258000127;;RF - Inflação;15.714.258/0001-27
16565016000181;;RF - Pós-fixado;16.565.016/0001-81
17138474000105;;RF - Pós-fixado;17.138.474/0001-05
17313316000136;;RF - Pós-fixado;17.313.316/0001-36
17322725000107;;RF - Pós-fixado;17.322.725/0001-07
17502869000137;;RF - Pós-fixado;17.502.869/0001-37
18428661000188;;RF - Pós-fixado;18.428.661/0001-88
18623722000168;;RF - Inflação;18.623.722/0001-68
18719154000101;;RF - Pós-fixado;18.719.154/0001-01
18897562000145;;RF - Pós-fixado;18.897.562/0001-45
19303792000100;;RF - Pós-fixado;19.303.792/0001-00
19392834000118;unica;RF - Pós-fixado;19.392.834/0001-18_unica
19418031000195;;RF - Prefixado;19.418.031/0001-95
19782311000188;;RF - Pós-fixado;19.782.311/0001-88
19922130000100;;RF - Pós-fixado;19.922.130/0001-00
20335522000151;;RF - Pós-fixado;20.335.522/0001-51
20441301000168;unica;RF - Pós-fixado;20.441.301/0001-68_unica
20824446000148;;RF - Pós-fixado;20.824.446/0001-48
20879578000177;;RF - Pós-fixado;20.879.578/0001-77
22003930000131;;RF - Pós-fixado;22.003.930/0001-31
22150467000150;unica;RF - Pós-fixado;22.150.467/0001-50_unica
22415801000150;;RF - Pós-fixado;22.415.801/0001-50
22652091000182;;RF - Inflação;22.652.091/0001-82
23272391000107;;RF - Pós-fixado;23.272.391/0001-07
23502654000119;;RF - Pós-fixado;23.502.654/0001-19
23556185000110;;RF - Pós-fixado;23.556.185/0001-10
23600995000127;;RF - Pós-fixado;23.600.995/0001-27
23711364000185;unica;RF - Pós-fixado;23.711.364/0001-85_unica
24325096000126;;RF - Pós-fixado;24.325.096/0001-26
24572219000123;;RF - Pós-fixado;24.572.219/0001-23
25213405000139;;RF - Inflação;25.213.405/0001-39
26218447000125;;RF - Pós-fixado;26.218.447/0001-25
26491419000187;;RF - Pós-fixado;26.491.419/0001-87
26498249000162;;RF - Pós-fixado;26.498.249/0001-62
26710546000120;;RF - Pós-fixado;26.710.546/0001-20
26803233000116;;RF - Inflação;26.803.233/0001-16
26978438000132;;RF - Pós-fixado;26.978.438/0001-32
27077318000127;;RF - Inflação;27.077.318/0001-27
27227796000176;;RF - Pós-fixado;27.227.796/0001-76
27227796000176;unica;RF - Pós-fixado;27.227.796/0001-76_unica
27467928000137;;RF - Pós-fixado;27.467.928/0001-37
27717359000130;;RF - Pós-fixado;27.717.359/0001-30
28320756000137;;RF - Pós-fixado;28.320.756/0001-37
