chave_original;motivo
CDB BANCO XP S.A. - SET/2028;valor nao reconhecido (TDB)
Custo de corretagem;valor nao reconhecido (Custo)
Custos bolsa;valor nao reconhecido (Custo)
Custos CBLC;valor nao reconhecido (Custo)
IRRF;valor nao reconhecido (Custo)
IRRF day trade;valor nao reconhecido (Custo)
LCA BANCO RODOBENS S/A - FEV/2024;valor nao reconhecido (TDB)
LCA BTG PACTUAL - SET/2024;valor nao reconhecido (TDB)
LCI BANCO ABC - AGO/2025;valor nao reconhecido (TDB)
LCI BANCO STELLANTIS S.A.;valor nao reconhecido (TDB)
LCI ORIGINAL - MAR/2025;valor nao reconhecido (TDB)
LU:LU0454720516;valor nao reconhecido (TDB)
Taxa de permanência;valor nao reconhecido (Custo)
Taxa operacional;valor nao reconhecido (Custo)
Taxa registro;valor nao reconhecido (Custo)
Taxas BMF;valor nao reconhecido (Custo)
Acs Absolute Atenas Previdencia FI Financeiro RF;parece liquidez, nao classe (D+735)
Az Quest Luce Advisory Prev Xp Seguros FIC RF Créd Priv Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Occam Bp Prev FI Financeiro RF Créd Priv - Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Real Investor 70 Previdencia FI Financeiro MM;parece liquidez, nao classe (D+735)
Spx Lancer Plus Xp Seguros Previdênciário FIC MM Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Absolute Vertex Xp Seg Prev FI Em Cotas Mult Resp Limitada;parece liquidez, nao classe (D+735)
Brasil Capital 100 Xp Seguros Advisory Prev FIC de Fif Em Ações - Responsabilidade Limitad;parece liquidez, nao classe (D+735)
Ibiuna St Xp Seg Prev FIC MM Créd Priv Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Ip Prev Xp Seguros Iq FIC de FI Financeiro MM - Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Kad Ima-B Xp Seg Prev FIC MM Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Tork Long Only Xp Seguros Prev FI Financeiro Em Cotas de FI Em Ações Fie;parece liquidez, nao classe (D+735)
Vinland Macro Advisory 2 Xp Seg Prev Fc MM Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Xp 2035B Advisory Seguros Prev FI Em Cotas RF Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Caixa Pós Fixado 30 Prev FIC de Classe de Fif RF - Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Trend Pós-Fixado Xp Seguros Prev FI Em Cotas RF Responsabilidade Limitada;parece liquidez, nao classe (D+735)
IItaú Ccrprev FI Financeiro RF - Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Itaú Optimus Titan Mult Fif Da Classe de Investimento Em Cotas Resp Limitada;parece liquidez, nao classe (D+735)
Itaú Optimus RF LP FI Financeiro Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Itaú Ipca Action RF LP FI Financeiro Responsabilidade Limitada;parece liquidez, nao classe (D+735)
Itaú Flexprev Sinfonia Fif MM Créd Priv - Responsabilide Limitada;parece liquidez, nao classe (D+735)
Itaú Flexprev High Yield II FI Financeiro Mult Créd Priv - Resp Limitada;parece liquidez, nao classe (D+735)
BTG Pactual Tesouro Selic Previdencia FI Financeiro RF;parece liquidez, nao classe (D+735)
Itaú High Yield Prev P Distribuidores Bp Fif Cic RF Créd Priv - Resp Limitada;parece liquidez, nao classe (D+735)
BTG Pactual Crédito Corporativo II Prev FIC de FI Financeiro MM;parece liquidez, nao classe (D+735)
38.082.159/0001-75_senior2;parece liquidez, nao classe (D+735)
39.669.815/0001-01_classeA;parece liquidez, nao classe (D+735)
44.951.924/0001-49;parece liquidez, nao classe (D+735)
DEBENTURE TRIPLE PLAY BRASIL PARTICIPACOES S.A. - 16,47% - mai/30;data na coluna de classe (2030-05-15)
CRI Tecnisa - IPCA + 7,00% - fev/26;data na coluna de classe (2026-02-15)
CRI TENDA CONSTRUTORA - IPCA + 8,00% - abr/28;data na coluna de classe (2028-04-17)
CRI ARENA MRV - 4,00% do CDI - set/29;data na coluna de classe (2029-09-24)
CRI ANIMA - 1,50% do CDI - dez/27;data na coluna de classe (2027-12-15)
CRI MRV ENGENHARIA - 106,50% do CDI - out/29;data na coluna de classe (2029-10-15)
