ticker;tipo;aplicar;empresa;setor;confianca;nome_sistema;ativo_canonico_id
ALOS3;ACAO;SIM;Allos;Imobiliário;alta;ALLOS       ON      NM;10e8772c-0c0a-4762-bf57-6c10f3759bd1
BBSE3;ACAO;SIM;BB Seguridade;Financeiro;alta;BBSEGURIDADEON      NM;cfdd4995-73b8-447b-a662-777302ecf70e
BPAC11;ACAO;SIM;BTG Pactual;Financeiro;alta;BTGP BANCO  UNT     N2;35224e6a-e471-4668-bf35-f3a68a5fc3a9
INBR32;ACAO;SIM;Banco Inter;Financeiro;alta;INTER CO    DR2;abf51e72-ccd4-4472-b645-de86278e951b
BBAS3;ACAO;SIM;Banco do Brasil;Financeiro;alta;BRASIL      ON  EJ  NM;8963d87a-1bb1-4c3e-9a7e-bcec1f06459a
BBDC4;ACAO;SIM;Bradesco;Financeiro;alta;BRADESCO    PN  EJ  N1;a13b6cb8-cb7b-40ec-89ff-9a8784f38a99
CPFE3;ACAO;SIM;CPFL Energia;Energia Elétrica;alta;CPFL ENERGIAON      NM;30f6ea82-288c-43c1-88f2-45c04cd0aa28
CMIN3;ACAO;SIM;CSN Mineração;Indústria;alta;CSNMINERACAOON      N2;0eaa4b66-70be-4638-87be-e81c1e1c1f70
CSUD3;ACAO;SIM;CSU Digital;Tecnologia;alta;CSU DIGITAL ON      NM;d2b0d052-9ba4-43ce-9a92-7fb9d6d454c2
CXSE3;ACAO;SIM;Caixa Seguridade;Financeiro;alta;CAIXA SEGURION      NM;2e8eb337-323b-43e7-9c7b-63625bec8dad
BHIA3;ACAO;SIM;Casas Bahia;Varejo & Consumo;alta;CASAS BAHIA ON  ATZ NM;07892e1d-19f5-4c0b-b358-18cbc780d7f7
CSAN3;ACAO;NAO - master revisa;Cosan;Petróleo & Gás;media;COSAN       ON      NM;11960c46-8117-41ad-a5a1-6e682dc97122
CYRE4;ACAO;SIM;Cyrela;Imobiliário;alta;CYRELA REALTPN      NM;58ec22a3-07ae-450f-a4b1-f91b5db3e527
EMBJ3;ACAO;SIM;Embraer;Indústria;alta;EMBRAER     ON      NM;92e2389a-667a-4385-b7be-9f5a2061006e
ENGI11;ACAO;SIM;Energisa;Energia Elétrica;alta;ENERGISA    UNT     N2;41aee919-65ed-42b6-ad4a-66f16c2816dc
EGIE3;ACAO;SIM;Engie Brasil;Energia Elétrica;alta;ENGIE BRASILON      NM;2e121270-c533-4d3a-9c72-ac5267101418
FLRY3;ACAO;SIM;Fleury;Saúde;alta;FLEURY      ON      NM;281e4f03-8cae-4a21-a2aa-6b46213c5fd5
ITUB4;ACAO;SIM;Itaú Unibanco;Financeiro;alta;ITAUUNIBANCOPN  EJ  N1;d0741c04-b3b3-4dc0-89a9-750ecbcb19c8
ITSA3;ACAO;SIM;Itaúsa;Financeiro;alta;ITAUSA      ON  EJ  N1;a58d86b0-aff3-40dd-a449-1160871cef87
ITSA4;ACAO;SIM;Itaúsa;Financeiro;alta;ITAUSA      PN  EJ  N1;cdf3df7b-c09a-47ee-a29f-100c10114fd1
LAVV3;ACAO;SIM;Lavvi;Imobiliário;alta;LAVVI       ON      NM;1827e994-09b0-4163-828e-067323c85f69
LOGG3;ACAO;SIM;Log Commercial Properties;Imobiliário;alta;LOG COM PROPON      NM;a39117ba-e1ad-4ba8-9df1-d98518b51829
LREN3;ACAO;SIM;Lojas Renner;Varejo & Consumo;alta;LOJAS RENNERON      NM;8b487e7c-c024-45e6-8059-236d0f94da10
MRVE3;ACAO;SIM;MRV;Imobiliário;alta;MRV         ON      NM;2cb464bd-d6b0-4b71-a05f-cbd54f60b116
MILS3;ACAO;NAO - master revisa;Mills;Indústria;media;MILLS       ON      NM;47ad908c-e3cf-4c90-8bb1-beb15809a740
MOTV3;ACAO;SIM;Motiva;Infraestrutura & Transporte;alta;MOTIVA SA   ON      NM;d8a91cd4-1127-4ca8-bd1a-04b16e535545
PETR3;ACAO;SIM;Petrobras;Petróleo & Gás;alta;PETROBRAS   ON  EJ  N2;b265924e-ba95-47e9-8cb6-f0e8aa2630d4
PETR4;ACAO;SIM;Petrobras;Petróleo & Gás;alta;PETROBRAS   PN  EJ  N2;bb431608-011d-47c4-9000-1d6f04207b20
PRIO3;ACAO;SIM;Prio;Petróleo & Gás;alta;PRIO        ON      NM;387a412c-ffeb-4a27-a47e-d09de80681fa
RADL3;ACAO;NAO - master revisa;RaiaDrogasil;Varejo & Consumo;media;RAIADROGASILON      NM;579c06f8-61b0-4cf2-bc20-837116cff2a8
RAIZ4;ACAO;NAO - master revisa;Raizen;Agronegócio;media;RAIZEN      PN      N2;0002f2c4-0033-4154-8808-baa830871711
SAPR11;ACAO;SIM;Sanepar;Saneamento;alta;SANEPAR     UNT     N2;ba7f4303-ae43-4cc5-a36c-f404fe45cdd7
SANB11;ACAO;SIM;Santander Brasil;Financeiro;alta;SANTANDER BRUNT;c0d50016-c6e7-48e9-996c-3a9193a4c93d
SANB3;ACAO;SIM;Santander Brasil;Financeiro;alta;SANTANDER BRON;34047c71-6e59-4be2-8fa4-6c99fd818d09
SHUL4;ACAO;SIM;Schulz;Indústria;alta;SCHULZ      PN;263e4ec9-9411-4adc-a4ee-952381a4cc2f
SMFT3;ACAO;NAO - master revisa;Smart Fit;Saúde;media;SMART FIT   ON  EJ  NM;71f508ab-49aa-4cb2-99fe-c03a2251d18e
SUZB3;ACAO;SIM;Suzano;Papel & Celulose;alta;SUZANO S.A. ON      NM;48672058-e540-406d-bd68-11f863ef2b56
TAEE11;ACAO;SIM;Taesa;Energia Elétrica;alta;TAESA       UNT     N2;e9c63fd3-688f-40ec-bade-092b243aed79
TOTS3;ACAO;SIM;Totvs;Tecnologia;alta;TOTVS       ON      NM;67154c9c-9c1c-4c14-9193-6163bc85f1ea
VALE3;ACAO;SIM;Vale;Indústria;alta;VALE        ON      NM;88539c8e-4b4b-4eda-b2b8-a461830b6907
VLID3;ACAO;NAO - master revisa;Valid;Tecnologia;media;VALID       ON      NM;ef50fbca-e00d-4780-aa17-5d10bf382e78
VIVA3;ACAO;SIM;Vivara;Varejo & Consumo;alta;VIVARA S.A. ON      NM;bdd55cde-eb36-47e5-a3f1-477d5ca10529
WEGE3;ACAO;SIM;WEG;Indústria;alta;WEG         ON      NM;523d54c8-b175-48e4-b5d6-ff8530c4518b
ALUG11;ETF;NAO - ETF sem emissor;;;;INVESTO ALUGCI;c9fca178-04c6-45b0-82ac-e5e6f48f0fcd
ARGE11;ETF;NAO - ETF sem emissor;;;;INVESTOARGE CI;89db707d-f0e7-465b-babb-31ceb8723c1d
AURO11;ETF;NAO - ETF sem emissor;;;;ETF BV AURO CI;7299c16e-8bcf-4ce6-bc42-329c1c7d5503
B5P211;ETF;NAO - ETF sem emissor;;;;IT NOW B5P2 F11;11d8768d-f287-4b2c-bc39-414f0758a7d1
BDRI39;ETF;NAO - ETF sem emissor;;;;GX AEVEHICLEDRE;940fc042-54af-4d5d-8b03-2bf561b0d776
BEST11;ETF;NAO - ETF sem emissor;;;;INVESTOBEST CI  ER;227bf4e8-e8d7-4d9c-93ea-8218982ce2d0
BGNO39;ETF;NAO - ETF sem emissor;;;;GX GENOMBIOTDRE;73250786-06e4-4998-999e-a85e94c1341d
BGOV39;ETF;NAO - ETF sem emissor;;;;BKR US TREASDRE ED;2fefa400-4bdc-47cf-a548-bc5b084edc70
BIXC39;ETF;NAO - ETF sem emissor;;;;BKR GLB ENERDRE;5271d9d0-ec9e-4747-a683-076de46c4305
BIZD11;ETF;NAO - ETF sem emissor;;;;INVESTO BIZDCI;52ff666e-99dd-4980-a06c-f3cca84c1519
BNDX11;ETF;NAO - ETF sem emissor;;;;INVESTO BNDXCI;effb5387-9d45-44a1-bb6f-ef608b4c7249
