identificador;casado_por;tipo_id;nome_sistema;classe_sistema;classe_base2;status;ativo_canonico_id
24029438000160;CNPJ;CNPJ;ADAM MACRO II FICFIM;Multimercado;Multimercado;CONCORDA;c5d28345-bb8b-47ef-a820-e801c3e4e74c
09625909000100;CNPJ;CNPJ;Artesanal Multimercado FICFIM;Multimercado;Multimercado;CONCORDA;a1819d9e-5388-45a2-a9bb-86f68ac9d3e1
BRBBSEACNOR5;TICKER;ISIN;BBSEGURIDADEON      NM;Renda Variável;Renda Variável;CONCORDA;cfdd4995-73b8-447b-a662-777302ecf70e
BRBBDCACNPR8;TICKER;ISIN;BRADESCO    PN  EJ  N1;Renda Variável;Renda Variável;CONCORDA;a13b6cb8-cb7b-40ec-89ff-9a8784f38a99
BRBBASACNOR3;TICKER;ISIN;BRASIL      ON  EJ  NM;Renda Variável;Renda Variável;CONCORDA;8963d87a-1bb1-4c3e-9a7e-bcec1f06459a
37927641000104;CNPJ;CNPJ;BTG ECONOMIA REAL FEEDER I FIM;Multimercado;Multimercado;CONCORDA;43115487-a9fc-4f59-8a4e-512fbbebeea4
BRCXSEACNOR7;TICKER;ISIN;CAIXA SEGURION      NM;Renda Variável;Renda Variável;CONCORDA;2e8eb337-323b-43e7-9c7b-63625bec8dad
BRBHIAACNOR1;TICKER;ISIN;CASAS BAHIA ON  ATZ NM;Renda Variável;Renda Variável;CONCORDA;07892e1d-19f5-4c0b-b358-18cbc780d7f7
BRCSANACNOR6;TICKER;ISIN;COSAN       ON      NM;Renda Variável;Renda Variável;CONCORDA;11960c46-8117-41ad-a5a1-6e682dc97122
BRCPFEACNOR0;TICKER;ISIN;CPFL ENERGIAON      NM;Renda Variável;Renda Variável;CONCORDA;30f6ea82-288c-43c1-88f2-45c04cd0aa28
BRCMINACNOR2;TICKER;ISIN;CSNMINERACAOON      N2;Renda Variável;Renda Variável;CONCORDA;0eaa4b66-70be-4638-87be-e81c1e1c1f70
BRCSUDACNOR5;TICKER;ISIN;CSU DIGITAL ON      NM;Renda Variável;Renda Variável;CONCORDA;d2b0d052-9ba4-43ce-9a92-7fb9d6d454c2
BREMBJACNOR1;TICKER;ISIN;EMBRAER     ON      NM;Renda Variável;Renda Variável;CONCORDA;92e2389a-667a-4385-b7be-9f5a2061006e
BREGIEACNOR9;TICKER;ISIN;ENGIE BRASILON      NM;Renda Variável;Renda Variável;CONCORDA;2e121270-c533-4d3a-9c72-ac5267101418
BRFLRYACNOR5;TICKER;ISIN;FLEURY      ON      NM;Renda Variável;Renda Variável;CONCORDA;281e4f03-8cae-4a21-a2aa-6b46213c5fd5
BRINBRBDR007;TICKER;ISIN;INTER CO    DR2;Renda Variável;Renda Variável;CONCORDA;abf51e72-ccd4-4472-b645-de86278e951b
BRBESTCTF000;TICKER;ISIN;INVESTOBEST CI  ER;Renda Variável;Renda Variável;CONCORDA;227bf4e8-e8d7-4d9c-93ea-8218982ce2d0
