cnpj;nome_sistema;status_cvm;situacao;classe_atual;classe_anbima;sugestao_classe;confianca;liquidez_atual;cvm_conversao;cvm_pagto_resgate;cvm_tipo_dia;liquidez_sugerida;gestor;taxa_adm;ativo_canonico_id
59116601000107;ARTESANAL BTG CDI FIC DE FIDC RL;NAO_ENCONTRADO;;Multimercado;;;;2;;;;;;;86ee9549-0952-48fe-9178-54695993cc47
57812456000173;ARTESANAL CDI FIC FIDC II RL;NAO_ENCONTRADO;;Multimercado;;;;2;;;;;;;769575a0-7b57-4cd9-8f80-226a3b2b47ae
54869435000104;ARX CHILLON REC FII;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;929d6f45-9951-40bb-a675-6c5b3363b2b4
62362591000102;AZ QUEST - PRE - INFRA-YIELD IX FIP INFR;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;37470255-747a-46a1-be49-80d6978ce554
59939757000198;AZ QUEST INFRA-YIELD VII FIP INFRA;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;99965205-853d-437a-a7ee-d9a85a9ebcfa
54829603000120;BRADESCO DEBÊNTURES INCENTIVADAS CDI II CLASSE DE COTAS DE INVESTIMENTO EM COTAS DE INVESTIMENTO RENDA FIXA INCENTIVADO EM INFRAESTRUTURA LONGO PRAZO;NAO_ENCONTRADO;;Multimercado;;;;31;;;;;;;051907cc-b3f4-490a-9939-a500b4cda63a
61250889000150;BRASIL ENERGIA FII RESP LIMITADA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;814c4bcb-8fb6-4247-9ad7-b0d4a107e466
60571986000181;BTG Apolo II FICFIDC RL;NAO_ENCONTRADO;;Multimercado;;;;91;;;;;;;a6e201bb-5294-4014-8829-513a6dd1a71c
43008233000143;BTG INCORPORACAO FII RESP LIMITADA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;13305b7d-1ca7-4a78-be09-0990f7938b3e
59658166000142;BTG LOG AAA CAJAMAR FII RL SNR;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;71e3d362-4f85-494e-a31f-cd321ab4c6d8
49343067000118;BTG PACTUAL ENERGY DB FIP INFRAESTRUTURA;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;470a8a96-ae0d-4ba2-a0b2-e5f89915bce7
51248141000169;BTG PACTUAL INFRA DEBT FIP;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;bd0f62fe-4a11-4f94-b288-d73f113cd441
36642497000199;BTG PACTUAL INV DE IMPACTO CL B FIP MULT;NAO_ENCONTRADO;;Multimercado;;;;3;;;;;;;4806ccc3-0e58-438b-ab5f-c5b22d057dd7
50479122000180;BTG PACTUAL LOGCP FII;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;c59180b9-9642-423e-9db5-0966a9c70557
58595391000114;BTGP CRED AGRICOLA BTAG II PRE FIAGRO DC;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;ffa6868f-14d8-4b4e-9c14-0ecedfdc7ac7
60027987000160;BTGP CREDITO IMOBILIARIO CDI - FII RL;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;0c2f3769-8897-4972-a363-dc8162044846
48329694000131;BTGP REF MODERADO FMP FGTS CARTE LIVRE;NAO_ENCONTRADO;;Multimercado;;;;5;;;;;;;626e7906-d6b7-4e59-b375-c2e2f63c7089
60759253000175;Bradesco Athos FIDC RL;NAO_ENCONTRADO;;Multimercado;;;;91;;;;;;;9627f620-8435-4828-8c6d-499839c31ad7
54402012000171;Bradesco Maple Valor FIC FIA;NAO_ENCONTRADO;;Multimercado;;;;12;;;;;;;2d25e3f8-37b0-4611-8e79-17e66fd33abb
56267236000143;Chamonix High Yield FIDC RL;NAO_ENCONTRADO;;Multimercado;;;;35;;;;;;;3564bdd8-825c-457b-9c5f-74f0fc0dd96b
59079948000127;DAYCOVAL SUBCLASSE TOP JUROS ATIVO FIF;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;a6035307-b8b1-42f3-baf6-e38d6eadf89f
63700460000142;ENERGIA REAL FII;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;1b875921-3fd4-45a7-b47a-3ad5266fb45f
62173916000109;FII LOTUS TOWER FII RESP LIMITADA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;b570ba80-ffbd-4653-8eba-5964a31510fb
56053824000184;FII RIO BRAVO HEDGE FUND RESP LTDA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;fc05c097-576e-4e22-8bca-2dbb05884ac2
57170846000197;HSI CRÉDITO ESTRUTURADO FII RESP LTDA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;81047760-62c6-46fe-8081-b6b8193c073a
54006013000105;Itaú Artax Ultra Dist FICFIM RL;NAO_ENCONTRADO;;Multimercado;;;;22;;;;;;;cae5895b-4ab6-4068-8989-4a1c15080c0a
62855536000146;LOTUS TOWER II FII RESPONSABILIDADE L;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;5c91f93c-c08f-44cb-89f6-907afd87176e
63441263000156;MANATÍ RENDA IMOBILIÁRIA FII RL;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;a94e3ab9-bf7d-4ee8-b0a8-04e7c309cba8
51192125000100;MORE CRED IMOB FII;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;84a183ef-52ea-44db-b93d-372a83f111a8
32388135000162;Multiplica Multiagro FIDC - Senior;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;d294eaaf-2d52-477d-a914-e78ad8959d3d
63141464000138;PATRIA INFRA CREDITO DI I FIP I;NAO_ENCONTRADO;;Multimercado;;;;5;;;;;;;777add81-25a1-4e80-a515-26a65004f6d4
57277830000188;PIPO CAPITAL II FIP MULT  CL A;NAO_ENCONTRADO;;Multimercado;;;;1;;;;;;;1430ed57-f3a7-49bb-b19b-0a320968def7
49983891000132;Patria Credito Estrutura 365 FICFIM CrPr;NAO_ENCONTRADO;;Multimercado;;;;366;;;;;;;7044864d-8df4-4e97-9b45-3bbe347a56d1
63976688000160;RBR FIP INFRA CREDITO;NAO_ENCONTRADO;;Multimercado;;;;3;;;;;;;7813c3f6-2478-4d12-b20d-2dc31adb13d8
50352284000153;RBR OPORTUNIDADES FII RL;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;d10debd7-7524-4443-80fb-c7ca38518654
57593613000105;RIZA EQUITUS REAL ESTATE FII RESP LTDA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;373a4cce-2ea7-45e9-996e-a160e7898610
52242738000169;Safra Extra Bancos Special FICFIRF CrPr;NAO_ENCONTRADO;;Multimercado;;;;0;;;;;;;a9e5a9cf-311c-4f94-80c6-bbf656054a00
55318040000178;Solis Capital Antares Pioneiro FICFIDC;NAO_ENCONTRADO;;Multimercado;;;;60;;;;;;;ddc34d5e-39ac-4cad-857d-acb5aa7b150a
41269079000138;TARPON US EQUITIES I FIA IE;NAO_ENCONTRADO;;Multimercado;;;;62;;;;;;;76d57fd9-b979-4415-9669-a8d301447d3e
55054815000145;TERRAMAGNA II FC FIAGRO FIDC RESP LIMIT;NAO_ENCONTRADO;;FII-FIAgro;;;;2;;;;;;;4d75d676-0493-4a39-8a06-0f9b6e4d3acd
58398452000153;V8 Mercury FIRF CrPr LP RL;NAO_ENCONTRADO;;Multimercado;;;;31;;;;;;;2ff0ba26-aa73-4d99-84ec-8aa565e76625
60743809000135;VALORA AGRO RENDA SR2 FIAGRO DC RL;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;ec6d1881-e098-4a5a-8c72-8e74d0b34c6d
51802350000102;VBI CRED MULTI FII RESP LIMITADA;NAO_ENCONTRADO;;FII-FIAgro;;;;1;;;;;;;e1b64df9-2e11-40da-9e98-c8cee849c609
59657690000107;Valora Vanguard FIC FIDC;NAO_ENCONTRADO;;Multimercado;;;;45;;;;;;;74a55476-95c3-4052-afef-433a647f4a17
55507846000104;WESTERN ASSET HIGH GRADE ONE FIC FIDC RE;NAO_ENCONTRADO;;Multimercado;;;;5;;;;;;;56d50738-ca9b-4240-89bb-21c4e78cde42
49983964000196;Western Credito Bancario Plus FIRF CrPr;NAO_ENCONTRADO;;Multimercado;;;;0;;;;;;;f6dc4c7e-1df9-4c62-8b0c-56621c7f7926
38226673000137;Menestys I FICFIM CrPr;OK;;Multimercado;;;;30;0;1;DIAS ÚTEIS;1;;;0e280e53-242e-4814-9c12-507d983ee8ac
23502654000119;SUL AMERICA RETORNO TOTAL FIRF LP;OK;;Multimercado;PREVIDÊNCIA MULTIMERCADO;;;5;0;1;DIAS ÚTEIS;1;;;d386e426-fd80-4798-9833-5ae0a84281f2
38064885000165;CHINA ADVANTAGE FIM CrPr IE ACCESS;OK;;Multimercado;MULTIMERCADO - INVESTIMENTO NO EXTERIOR;Internacional - Multimercado;media;122;120;121;DIAS CORRIDOS;241;;;9a8e73a3-359b-4228-b9f1-6f0c3c56848e
29066331000106;PIMCO GL FINANC CREDIT FICFIM IE;OK;;Multimercado;MULTIMERCADO - INVESTIMENTO NO EXTERIOR;Internacional - Multimercado;media;6;1;6;DIAS ÚTEIS;7;;;9d0c7906-906b-4116-8b66-d585969ae20e
32225478000106;PIMCO INCOME DOLAR FICFIM IE LP RL;OK;;Multimercado;MULTIMERCADO - INVESTIMENTO NO EXTERIOR;Internacional - Multimercado;media;6;1;6;DIAS ÚTEIS;7;;;397098c1-f149-4a8d-ac4b-11bbf225742e
24029438000160;ADAM MACRO II FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - MACRO;Multimercado;alta;31;30;31;DIAS CORRIDOS;61;;;c5d28345-bb8b-47ef-a820-e801c3e4e74c
45830738000114;Artesanal Credito Privado 30 FIDC RL;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;30;29;1;DIAS ÚTEIS;30;;;315ec188-8f72-45c4-8db1-438cc5240aae
20441301000168;Artesanal Credito Privado FICFIM;OK;;Multimercado;MULTIMERCADO - ESTRATÉGIA - LIVRE;Multimercado;alta;91;90;91;DIAS CORRIDOS;181;;;2b2d467b-2eda-4a73-a18a-ef187b33ace4
